timestamp_ms,found,x,y
1777283633727,1,108,80
1777283633761,1,108,80
1777283633792,1,109,81
1777283633827,1,109,81
1777283633861,1,109,81
1777283633892,1,109,81
1777283633927,1,109,81
1777283633961,1,109,81
1777283633992,1,109,81
1777283634027,1,109,81
1777283634061,1,108,81
1777283634092,1,108,81
1777283634127,1,108,81
1777283634161,1,108,81
1777283634192,1,108,81
1777283634228,1,108,81
1777283634260,1,107,81
1777283634292,1,107,81
1777283634327,1,107,82
1777283634361,1,106,82
1777283634392,1,106,83
1777283634427,1,106,83
1777283634461,1,105,83
1777283634492,1,105,85
1777283634527,1,104,85
1777283634561,1,104,86
1777283634592,1,103,87
1777283634627,1,102,87
1777283634661,1,102,88
1777283634692,1,101,90
1777283634727,1,100,90
1777283634761,1,100,91
1777283634792,1,99,93
1777283634827,1,98,93
1777283634861,1,97,94
1777283634892,1,96,96
1777283634927,1,96,97
1777283634961,1,96,98
1777283634992,1,95,100
1777283635027,1,95,101
1777283635061,1,94,102
1777283635092,1,93,104
1777283635127,1,93,104
1777283635161,1,93,106
1777283635194,1,92,108
1777283635228,1,92,109
1777283635260,1,92,110
1777283635292,1,91,111
1777283635327,1,91,112
1777283635362,1,91,114
1777283635392,1,91,115
1777283635427,1,91,116
1777283635461,1,92,117
1777283635492,1,92,119
1777283635527,1,93,120
1777283635561,1,93,121
1777283635592,1,94,122
1777283635627,1,95,123
1777283635661,1,95,124
1777283635692,1,96,125
1777283635727,1,97,126
1777283635760,1,97,127
1777283635792,1,98,128
1777283635827,1,99,129
1777283635861,1,100,130
1777283635892,1,101,131
1777283635927,1,101,131
1777283635961,1,102,132
1777283635992,1,103,133
1777283636027,1,104,134
1777283636061,1,104,134
1777283636092,1,106,135
1777283636127,1,106,135
1777283636161,1,107,135
1777283636192,1,108,136
1777283636227,1,108,136
1777283636261,1,109,136
1777283636292,1,109,136
1777283636327,1,110,136
1777283636361,1,110,136
1777283636392,1,111,136
1777283636427,1,111,136
1777283636461,1,111,136
1777283636492,1,111,135
1777283636527,1,111,135
1777283636561,1,111,135
1777283636592,1,111,134
1777283636627,1,111,134
1777283636661,1,111,134
1777283636692,1,110,133
1777283636727,1,110,133
1777283636761,1,110,133
1777283636792,1,109,132
1777283636827,1,109,132
1777283636861,1,108,131
1777283636892,1,108,131
1777283636927,1,107,130
1777283636961,1,107,130
1777283636992,1,106,129
1777283637027,1,106,129
1777283637061,1,105,128
1777283637092,1,104,128
1777283637127,1,104,127
1777283637161,1,103,127
1777283637192,1,103,126
1777283637227,1,102,126
1777283637261,1,102,126
1777283637296,1,102,126
1777283637328,1,101,125
1777283637360,1,101,125
1777283637392,1,100,125
1777283637427,1,100,125
1777283637461,1,100,125
1777283637492,1,100,125
1777283637527,1,100,125
1777283637561,1,99,125
1777283637592,1,99,125
1777283637627,1,99,125
1777283637661,1,99,125
1777283637692,1,100,126
1777283637727,1,100,126
1777283637762,1,100,126
1777283637793,1,100,126
1777283637827,1,100,126
1777283637859,1,100,126
1777283637892,1,100,126
1777283637927,1,100,126
1777283637961,1,101,127
1777283637992,1,101,127
1777283638027,1,101,127
1777283638061,1,101,127
1777283638092,1,101,127
1777283638127,1,102,127
1777283638161,1,102,127
1777283638192,1,102,127
1777283638227,1,102,127
1777283638261,1,103,128
1777283638292,1,103,127
1777283638327,1,103,127
1777283638361,1,104,128
1777283638392,1,103,127
1777283638427,1,103,127
1777283638465,1,103,127
1777283638496,1,103,127
1777283638528,1,103,127
1777283638560,1,103,127
1777283638592,1,103,127
1777283638627,1,103,127
1777283638661,1,103,126
1777283638692,1,103,126
1777283638727,1,103,126
1777283638760,1,103,126
1777283638792,1,103,126
1777283638827,1,103,125
1777283638862,1,103,125
1777283638892,1,104,125
1777283638927,1,104,125
1777283638961,1,104,125
1777283638992,1,105,125
1777283639027,1,105,124
1777283639061,1,105,124
1777283639092,1,105,124
1777283639127,1,106,124
1777283639161,1,106,124
1777283639192,1,106,124
1777283639227,1,107,124
1777283639261,1,107,124
1777283639292,1,107,123
1777283639327,1,107,123
1777283639361,1,107,123
1777283639392,1,108,123
1777283639427,1,108,123
1777283639461,1,108,123
1777283639492,1,108,123
1777283639527,1,108,123
1777283639561,1,108,123
1777283639592,1,109,123
1777283639627,1,109,123
1777283639661,1,109,123
1777283639692,1,109,123
1777283639727,1,109,123
1777283639761,1,108,123
1777283639792,1,108,123
1777283639827,1,108,123
1777283639861,1,108,123
1777283639892,1,108,123
1777283639927,1,108,122
1777283639961,1,108,122
1777283639992,1,108,122
1777283640027,1,108,122
1777283640062,1,108,122
1777283640092,1,108,122
1777283640128,1,108,122
1777283640160,1,108,122
1777283640192,1,108,122
1777283640227,1,108,122
1777283640261,1,108,122
1777283640292,1,108,121
1777283640327,1,108,121
1777283640361,1,108,121
1777283640392,1,108,121
1777283640427,1,108,121
1777283640461,1,108,121
1777283640492,1,107,120
1777283640527,1,107,120
1777283640561,1,107,119
1777283640592,1,107,119
1777283640627,1,107,119
1777283640661,1,106,118
1777283640692,1,106,118
1777283640728,1,106,118
1777283640759,1,106,117
1777283640792,1,106,117
1777283640827,1,105,116
1777283640860,1,105,116
1777283640892,1,105,116
1777283640927,1,104,115
1777283640961,1,104,115
1777283640992,1,104,114
1777283641027,1,104,114
1777283641061,1,104,113
1777283641092,1,104,113
1777283641127,1,104,113
1777283641161,1,104,112
1777283641192,1,104,112
1777283641227,1,104,112
1777283641261,1,104,111
1777283641292,1,104,111
1777283641327,1,104,110
1777283641361,1,104,110
1777283641392,1,104,109
1777283641427,1,104,109
1777283641461,1,104,109
1777283641492,1,104,109
1777283641527,1,105,109
1777283641561,1,105,109
1777283641592,1,104,108
1777283641627,1,104,108
1777283641659,1,105,108
1777283641692,1,105,108
1777283641727,1,105,108
1777283641761,1,105,108
1777283641792,1,105,108
1777283641827,1,105,108
1777283641861,1,105,109
1777283641892,1,105,109
1777283641927,1,105,109
1777283641961,1,105,109
1777283641992,1,105,109
1777283642027,1,105,109
1777283642061,1,105,109
1777283642092,1,105,109
1777283642127,1,105,109
1777283642161,1,105,109
1777283642192,1,105,109
1777283642227,1,105,109
1777283642261,1,105,109
1777283642292,1,105,109
1777283642327,1,105,109
1777283642361,1,105,109
1777283642392,1,105,109
1777283642427,1,105,109
1777283642459,1,105,109
1777283642493,1,105,109
1777283642527,1,105,109
1777283642561,1,105,109
1777283642592,1,105,109
1777283642627,1,105,109
1777283642661,1,105,109
1777283642692,1,105,109
1777283642727,1,105,109
1777283642761,1,105,109
1777283642792,1,105,109
1777283642827,1,105,108
1777283642861,1,105,108
1777283642892,1,105,108
1777283642927,1,104,108
1777283642962,1,104,108
1777283642992,1,104,108
1777283643027,1,103,108
1777283643059,1,103,107
1777283643092,1,102,107
1777283643127,1,102,107
1777283643161,1,101,107
1777283643192,1,100,106
1777283643227,1,99,106
1777283643261,1,98,106
1777283643292,1,97,105
1777283643327,1,96,105
1777283643360,1,95,104
1777283643392,1,94,104
1777283643427,1,93,104
1777283643461,1,91,103
1777283643492,1,89,102
1777283643527,1,89,102
1777283643561,1,87,101
1777283643592,1,85,100
1777283643627,1,84,100
1777283643661,1,83,100
1777283643692,1,81,99
1777283643727,1,80,99
1777283643761,1,78,98
1777283643792,1,76,97
1777283643827,1,76,97
1777283643861,1,74,97
1777283643892,1,72,96
1777283643927,1,72,96
1777283643961,1,70,95
1777283643992,1,68,95
1777283644027,1,68,95
1777283644060,1,67,95
1777283644093,1,65,95
1777283644127,1,64,95
1777283644161,1,63,95
1777283644192,1,62,96
1777283644227,1,61,96
1777283644261,1,60,96
1777283644292,1,59,97
1777283644327,1,58,98
1777283644361,1,57,98
1777283644392,1,56,99
1777283644427,1,56,100
1777283644461,1,55,101
1777283644492,1,54,103
1777283644527,1,54,103
1777283644561,1,54,104
1777283644592,1,53,106
1777283644627,1,53,107
1777283644661,1,52,108
1777283644692,1,52,110
1777283644727,1,52,111
1777283644761,1,52,113
1777283644792,1,52,115
1777283644827,1,51,116
1777283644861,1,51,117
1777283644892,1,51,120
1777283644927,1,51,120
1777283644961,1,51,122
1777283644992,1,51,124
1777283645027,1,51,125
1777283645061,1,51,126
1777283645092,1,51,128
1777283645127,1,51,129
1777283645161,1,51,131
1777283645192,1,51,132
1777283645227,1,51,133
1777283645266,1,51,134
1777283645296,1,51,136
1777283645328,1,51,137
1777283645361,1,51,138
1777283645392,1,51,139
1777283645427,1,51,140
1777283645461,1,51,141
1777283645492,1,51,142
1777283645527,1,51,143
1777283645561,1,51,144
1777283645592,1,51,145
1777283645627,1,51,145
1777283645661,1,51,146
1777283645692,1,51,147
1777283645727,1,51,148
1777283645761,1,51,148
1777283645792,1,51,149
1777283645827,1,51,149
1777283645861,1,51,150
1777283645892,1,51,151
1777283645927,1,51,151
1777283645961,1,51,152
1777283645992,1,51,153
1777283646027,1,51,153
1777283646061,1,51,154
1777283646092,1,51,155
